2/A4;I;in the evening;['in', 'the', 'evening']
2/A4;I;evening;['evening']
2/A4;I;to go to bed;['go', 'to', 'bed']
2/B1;I;cupboard;['cupboard']
2/B1;I;lamp;['lamp']
2/B1;I;carpet;['carpet']
2/B1;I;to tell;['tell']
2/B1;I;below;['below']
2/B3;I;brilliant (BE, informal);['brilliant', 'BE', ',']
2/B3;I;quite;['quite']
2/B3;I;well;['well']
2/B3;I;to be right;['be', 'right']
2/B3;I;to choose;['choose']
2/B3;I;crazy;['crazy']
2/B3;I;fantastic (informal);['fantastic']
2/B3;I;interesting;['interesting']
2/B4;I;who;['who']
2/B8;I;alone;['alone']
2/B8;I;to invite;['invite']
2/B9;I;to wait for;['wait', 'for']
2/B9;I;which;['which']
2/B11;I;to be angry with sb;['be', 'angry', 'with', 'sb']
2/B11;I;to believe;['believe']
2/C1;I;because;['because']
2/C2;I;when;['when']
2/C4;I;at the end;['at', 'the', 'end']
2/C4;I;without;['without']
2/C7;I;midnight (no pl);['midnight']
2/C8;I;What time is it?;['What', 'time', 'is', 'it', '?']
2/C8;I;What's the time?;"['What', ""'s"", 'the', 'time', '?']"
2/C8;I;to guess;['guess']
2/C8;I;to happen;['happen']
2/C8;I;maybe;['maybe']
2/C8;I;sleeping bag;['sleeping', 'bag']
2/C8;I;to be afraid (of);['be', 'afraid']
2/C8;I;suddenly;['suddenly']
2/C8;I;at that moment;['at', 'that', 'moment']
2/C8;I;just wait;['just', 'wait']
2/C8;I;to be asleep;['be', 'asleep']
2/C9;I;heading;['heading']
3/A;I;birthday;['birthday']
3/A;I;around the year;['around', 'the', 'year']
3/A1;I;calendar;['calendar']
3/A1;I;month;['month']
3/A2;I;to look at;['look', 'at']
3/A2;I;child (pl children);['child', 'child']
3/A2;I;when;['when']
3/A2;I;what;['what']
3/A2;I;other;['other']
3/A2;I;third;['third']
3/A2;I;June;['June']
3/A2;I;January;['January']
3/A2;I;February;['February']
3/A2;I;March;['March']
3/A2;I;July;['July']
3/A2;I;August;['August']
3/A2;I;September;['September']
3/A2;I;April;['April']
3/A2;I;May;['May']
3/A2;I;October;['October']
3/A2;I;November;['November']
3/A2;I;December;['December']
3/A2;I;first;['first']
3/A2;I;second;['second']
3/A3;I;in winter;['in', 'winter']
3/A3;I;winter;['winter']
3/A3;I;season;['season']
3/A3;I;spring;['spring']
3/A3;I;summer;['summer']
3/A3;I;autumn;['autumn']
3/A3;I;line;['line']
3/A3;I;place;['place']
3/A3;I;to change places;['change', 'place']
3/A4;I;cake;['cake']
