_id;Chapter;Book;Page;Sentence;Tagged;Mapped;Lemma
50;Welcome;I;12;My name is Lena: L-E-N-A.;[('My', 'PRP$'), ('name', 'NN'), ('is', 'VBZ'), ('Lena', 'JJ'), (':', ':'), ('L-E-N-A', 'JJ'), ('.', '.')];{'My': ['My'], ':': [':'], 'Lena': ['Lena'], 'name': ['name'], 'L-E-N-A': ['L-E-N-A'], '.': ['.'], 'is': ['is']};['My', 'name', 'is', 'Lena', ':', 'L-E-N-A', '.']
51;Welcome;I;12;My last name is Sander: S-A-N-D-E-R.;[('My', 'PRP$'), ('last', 'JJ'), ('name', 'NN'), ('is', 'VBZ'), ('Sander', 'NNP'), (':', ':'), ('S-A-N-D-E-R', 'NN'), ('.', '.')];{'.': ['.'], 'My': ['My'], ':': [':'], 'is': ['is'], 'last': ['last'], 'name': ['name'], 'S-A-N-D-E-R': ['S-A-N-D-E-R'], 'Sander': ['Sander']};['My', 'last', 'name', 'is', 'Sander', ':', 'S-A-N-D-E-R', '.']
52;Welcome;I;13;How many pink things can you see?;[('How', 'WRB'), ('many', 'JJ'), ('pink', 'VBP'), ('things', 'NNS'), ('can', 'MD'), ('you', 'PRP'), ('see', 'VB'), ('?', '.')];{'you': ['you'], 'thing': ['things'], 'can': ['can'], 'see': ['see'], 'pink': ['pink'], 'How': ['How'], 'many': ['many'], '?': ['?']};['How', 'many', 'pink', 'thing', 'can', 'you', 'see', '?']
53;Welcome;I;13;Emma: What are your hobbies?;[('Emma', 'NN'), (':', ':'), ('What', 'WP'), ('are', 'VBP'), ('your', 'PRP$'), ('hobbies', 'NNS'), ('?', '.')];{'What': ['What'], 'are': ['are'], 'hobby': ['hobbies'], ':': [':'], 'your': ['your'], 'Emma': ['Emma'], '?': ['?']};['Emma', ':', 'What', 'are', 'your', 'hobby', '?']
54;Welcome;I;13;Caroline: I like music and dancing.;[('Caroline', 'NN'), (':', ':'), ('I', 'PRP'), ('like', 'VBP'), ('music', 'NN'), ('and', 'CC'), ('dancing', 'NN'), ('.', '.')];{'.': ['.'], 'music': ['music'], 'Caroline': ['Caroline'], 'dancing': ['dancing'], 'and': ['and'], ':': [':'], 'like': ['like'], 'I': ['I']};['Caroline', ':', 'I', 'like', 'music', 'and', 'dancing', '.']
55;Welcome;I;13;Emma: I like in-line skating.;[('Emma', 'NN'), (':', ':'), ('I', 'PRP'), ('like', 'IN'), ('in-line', 'JJ'), ('skating', 'NN'), ('.', '.')];{'.': ['.'], 'I': ['I'], 'in-line': ['in-line'], 'Emma': ['Emma'], 'skating': ['skating'], ':': [':'], 'like': ['like']};['Emma', ':', 'I', 'like', 'in-line', 'skating', '.']
56;Welcome;I;13;Caroline: Cool! In-line skating is my hobby, too. … Oh, hi Socks.;[('Caroline', 'NN'), (':', ':'), ('Cool', 'JJ'), ('!', '.'), ('In-line', 'JJ'), ('skating', 'NN'), ('is', 'VBZ'), ('my', 'PRP$'), ('hobby', 'NN'), (',', ','), ('too', 'RB'), ('.', '.'), ('…', 'JJ'), ('Oh', 'NNP'), (',', ','), ('hi', 'NN'), ('Socks', 'NNP'), ('.', '.')];{'hi': ['hi'], 'Socks': ['Socks'], '!': ['!'], 'Oh': ['Oh'], 'hobby': ['hobby'], ':': [':'], 'Caroline': ['Caroline'], 'Cool': ['Cool'], '.': ['.', '.'], '…': ['…'], 'In-line': ['In-line'], ',': [',', ','], 'skating': ['skating'], 'my': ['my'], 'is': ['is'], 'too': ['too']};['Caroline', ':', 'Cool', '!', 'In-line', 'skating', 'is', 'my', 'hobby', ',', 'too', '.', '…', 'Oh', ',', 'hi', 'Socks', '.']
57;Welcome;I;13;Emma, this is my cat.;[('Emma', 'NNP'), (',', ','), ('this', 'DT'), ('is', 'VBZ'), ('my', 'PRP$'), ('cat', 'NN'), ('.', '.')];{'this': ['this'], '.': ['.'], 'Emma': ['Emma'], ',': [','], 'my': ['my'], 'cat': ['cat'], 'is': ['is']};['Emma', ',', 'this', 'is', 'my', 'cat', '.']
58;Welcome;I;13;Emma: I like cats.;[('Emma', 'NN'), (':', ':'), ('I', 'PRP'), ('like', 'IN'), ('cats', 'NNS'), ('.', '.')];{'.': ['.'], 'I': ['I'], 'Emma': ['Emma'], ':': [':'], 'cat': ['cats'], 'like': ['like']};['Emma', ':', 'I', 'like', 'cat', '.']
59;Welcome;I;13;Hello Socks.;[('Hello', 'NNP'), ('Socks', 'NNP'), ('.', '.')];{'Socks': ['Socks'], '.': ['.'], 'Hello': ['Hello']};['Hello', 'Socks', '.']
